full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Abraham Lincoln;Male;1809;Hodgenville;United States;North America;Politician;Government;Institutions;131;66145211;504925;279.386
Michael Faraday;Male;1791;Newington Butts;United Kingdom;Europe;Physicist;Natural Sciences;Science & Technology;110;10305685;93688;279.266
Jimi Hendrix;Male;1942;Seattle;United States;North America;Musician;Music;Arts;83;39460548;475428;279.258
Andy Warhol;Male;1928;Pittsburgh;United States;North America;Artist;Fine Arts;Arts;100;34354584;343546;279.198
Methuselah;Male;-3500;Other;Unknown;Unknown;Religious Figure;Religion;Institutions;39;5031601;129015;279.189
Du Fu;Male;712;Luoyang;China;Asia;Writer;Language;Humanities;97;1664206;17157;279.061
Antonio Vivaldi;Male;1678;Venice;Italy;Europe;Composer;Music;Arts;103;15870117;154079;278.898
Phidias;Male;-490;Other;Unknown;Unknown;Sculptor;Fine Arts;Arts;47;2664469;56691;278.852
Zeno of Elea;Male;-490;Velia;Italy;Europe;Philosopher;Philosophy;Humanities;55;2607967;47418;278.847
Empedocles;Male;-490;Agrigento;Italy;Europe;Philosopher;Philosophy;Humanities;60;3615283;60255;278.743
Mother Teresa;Female;1910;Skopje;Republic Of Macedonia;Europe;Social Activist;Activism;Public Figure;101;30145431;298470;278.634
El Greco;Male;1541;Crete;Greece;Europe;Painter;Fine Arts;Arts;71;7840580;110431;27.863
Paracelsus;Male;1493;Einsiedeln;Switzerland;Europe;Physician;Medicine;Science & Technology;61;5367602;87993;278.602
Bob Marley;Male;1945;Nine Mile;Jamaica;North America;Musician;Music;Arts;91;60597640;665908;278.593
Anaxagoras;Male;-500;Clazomenae;Turkey;Asia;Philosopher;Philosophy;Humanities;62;2528167;40777;278.564
Clovis I;Male;466;Tournai;Belgium;Europe;Politician;Government;Institutions;61;5010769;82144;27.854
Miguel de Cervantes;Male;1547;Alcalá de Henares;Spain;Europe;Writer;Language;Humanities;128;14409252;112572;278.516
Philip II of Macedon;Male;-382;Pella;Greece;Europe;Politician;Government;Institutions;57;3619870;63506;278.487
Charles V, Holy Roman Emperor;Male;1500;Ghent;Belgium;Europe;Politician;Government;Institutions;78;7454646;95572;278.476
Marcel Proust;Male;1871;Auteuil-Neuilly-Passy;France;Europe;Writer;Language;Humanities;94;8846261;94109;278.449
Plotinus;Male;204;Lycopolis;Egypt;Africa;Philosopher;Philosophy;Humanities;53;2452095;46266;278.309
Averroes;Male;1126;Córdoba;Spain;Europe;Philosopher;Philosophy;Humanities;77;4246475;55149;278.309
Leonardo Fibonacci;Male;1170;Pisa;Italy;Europe;Mathematician;Math;Science & Technology;82;5180458;63176;278.288
Hieronymus Bosch;Male;1450;s-Hertogenbosch;Netherlands;Europe;Painter;Fine Arts;Arts;57;7338723;128750;278.232
David Hume;Male;1711;Edinburgh;United Kingdom;Europe;Philosopher;Philosophy;Humanities;81;11286165;139335;278.185
Bruce Lee;Male;1940;San Francisco-Bay Area;United States;North America;Actor;Film And Theatre;Arts;84;56281877;670022;278.142
Pompey;Male;-106;Roman Republic;Italy;Europe;Politician;Government;Institutions;60;5041050;84018;27.814
Charles de Gaulle;Male;1890;Lille;France;Europe;Military Personnel;Military;Institutions;107;14688101;137272;278.011
Septimius Severus;Male;145;Leptis Magna;Libya;Africa;Politician;Government;Institutions;61;2978333;48825;278.008
